*** 2025-05-26  07:01:17 ***
FD : ==:== <=> 06:59 : SP

_*** 2025-05-26  07:04:17 ***_

_*** 2025-05-26  07:07:17 ***_

_*** 2025-05-26  07:10:17 ***_

*** 2025-05-26  07:13:30 *** (restart)
FD : 19:54 <=> 06:59 : SP

_*** 2025-05-26  07:16:30 ***_

_*** 2025-05-26  07:19:30 ***_

_*** 2025-05-26  07:22:30 ***_

_*** 2025-05-26  07:25:30 ***_

_*** 2025-05-26  07:28:30 ***_

_*** 2025-05-26  07:31:30 ***_

_*** 2025-05-26  07:34:30 ***_

_*** 2025-05-26  07:37:30 ***_

_*** 2025-05-26  07:40:30 ***_

_*** 2025-05-26  07:43:30 ***_

_*** 2025-05-26  07:46:30 ***_

_*** 2025-05-26  07:49:30 ***_

_*** 2025-05-26  07:52:30 ***_

_*** 2025-05-26  07:55:30 ***_

_*** 2025-05-26  07:58:30 ***_

_*** 2025-05-26  08:01:30 ***_

_*** 2025-05-26  08:04:30 ***_

_*** 2025-05-26  08:07:30 ***_

_*** 2025-05-26  08:10:30 ***_

_*** 2025-05-26  08:13:30 ***_

*** 2025-05-26  08:16:30 ***
FD : ==:== <=> 08:15 : SP

_*** 2025-05-26  08:19:30 ***_

_*** 2025-05-26  08:22:30 ***_

*** 2025-05-26  08:25:30 ***
FD : ==:== <=> 08:23 : SP

_*** 2025-05-26  08:28:30 ***_

*** 2025-05-26  08:31:30 ***
FD : 08:30 <=> ==:== : SP

_*** 2025-05-26  08:34:30 ***_

_*** 2025-05-26  08:37:30 ***_

_*** 2025-05-26  08:40:30 ***_

_*** 2025-05-26  08:43:30 ***_

_*** 2025-05-26  08:46:30 ***_

*** 2025-05-26  08:49:30 ***
FD : ==:== <=> 08:49 : SP

_*** 2025-05-26  08:52:30 ***_

_*** 2025-05-26  08:55:30 ***_

_*** 2025-05-26  08:58:30 ***_

_*** 2025-05-26  09:01:30 ***_

_*** 2025-05-26  09:04:30 ***_

_*** 2025-05-26  09:07:30 ***_

_*** 2025-05-26  09:10:30 ***_

_*** 2025-05-26  09:13:30 ***_

_*** 2025-05-26  09:16:30 ***_

_*** 2025-05-26  09:19:30 ***_

_*** 2025-05-26  09:22:30 ***_

_*** 2025-05-26  09:25:30 ***_

_*** 2025-05-26  09:28:30 ***_

_*** 2025-05-26  09:31:30 ***_

_*** 2025-05-26  09:34:30 ***_

_*** 2025-05-26  09:37:30 ***_

_*** 2025-05-26  09:40:30 ***_

_*** 2025-05-26  09:43:30 ***_

_*** 2025-05-26  09:46:30 ***_

_*** 2025-05-26  09:49:30 ***_

_*** 2025-05-26  09:52:30 ***_

_*** 2025-05-26  09:55:30 ***_

_*** 2025-05-26  09:58:30 ***_

_*** 2025-05-26  10:01:30 ***_

_*** 2025-05-26  10:04:30 ***_

_*** 2025-05-26  10:07:30 ***_

_*** 2025-05-26  10:10:30 ***_

_*** 2025-05-26  10:13:30 ***_

_*** 2025-05-26  10:16:30 ***_

_*** 2025-05-26  10:19:30 ***_

*** 2025-05-26  10:22:30 ***
FD : ==:== <=> 10:20 : SP

_*** 2025-05-26  10:25:30 ***_

_*** 2025-05-26  10:28:30 ***_

_*** 2025-05-26  10:31:30 ***_

_*** 2025-05-26  10:34:30 ***_

_*** 2025-05-26  10:37:30 ***_

_*** 2025-05-26  10:40:30 ***_

_*** 2025-05-26  10:43:30 ***_

_*** 2025-05-26  10:46:30 ***_

_*** 2025-05-26  10:49:30 ***_

_*** 2025-05-26  10:52:30 ***_

_*** 2025-05-26  10:55:30 ***_

_*** 2025-05-26  10:58:30 ***_

_*** 2025-05-26  11:01:30 ***_

_*** 2025-05-26  11:04:30 ***_

_*** 2025-05-26  11:07:30 ***_

_*** 2025-05-26  11:10:30 ***_

_*** 2025-05-26  11:13:30 ***_

_*** 2025-05-26  11:16:30 ***_

_*** 2025-05-26  11:19:30 ***_

_*** 2025-05-26  11:22:30 ***_

_*** 2025-05-26  11:25:30 ***_

_*** 2025-05-26  11:28:30 ***_

_*** 2025-05-26  11:31:30 ***_

_*** 2025-05-26  11:34:30 ***_

_*** 2025-05-26  11:37:30 ***_

_*** 2025-05-26  11:40:30 ***_

_*** 2025-05-26  11:43:30 ***_

_*** 2025-05-26  11:46:30 ***_

_*** 2025-05-26  11:49:30 ***_

_*** 2025-05-26  11:52:30 ***_

_*** 2025-05-26  11:55:30 ***_

_*** 2025-05-26  11:58:30 ***_

_*** 2025-05-26  12:01:30 ***_

*** 2025-05-26  12:04:30 ***
FD : 12:04 <=> ==:== : SP

*** 2025-05-26  12:07:30 ***
FD : 12:05 <=> ==:== : SP

_*** 2025-05-26  12:10:30 ***_

_*** 2025-05-26  12:13:30 ***_

_*** 2025-05-26  12:16:30 ***_

_*** 2025-05-26  12:19:30 ***_

*** 2025-05-26  12:22:30 ***
FD : ==:== <=> 12:21 : SP

_*** 2025-05-26  12:25:30 ***_

_*** 2025-05-26  12:28:30 ***_

_*** 2025-05-26  12:31:30 ***_

*** 2025-05-26  12:34:30 ***
FD : ==:== <=> 12:32 : SP

_*** 2025-05-26  12:37:30 ***_

_*** 2025-05-26  12:40:30 ***_

_*** 2025-05-26  12:43:30 ***_

*** 2025-05-26  12:46:30 ***
FD : ==:== <=> 12:45 : SP

_*** 2025-05-26  12:49:30 ***_

_*** 2025-05-26  12:52:30 ***_

_*** 2025-05-26  12:55:30 ***_

_*** 2025-05-26  12:58:30 ***_

*** 2025-05-26  13:01:30 ***
FD : ==:== <=> 13:01 : SP

_*** 2025-05-26  13:04:30 ***_

_*** 2025-05-26  13:07:30 ***_

_*** 2025-05-26  13:10:30 ***_

*** 2025-05-26  13:13:30 ***
FD : ==:== <=> en ligne : SP

*** 2025-05-26  13:16:30 ***
FD : ==:== <=> 13:13 : SP

_*** 2025-05-26  13:19:30 ***_

_*** 2025-05-26  13:22:30 ***_

_*** 2025-05-26  13:25:30 ***_

_*** 2025-05-26  13:28:30 ***_

_*** 2025-05-26  13:31:30 ***_

_*** 2025-05-26  13:34:30 ***_

_*** 2025-05-26  13:37:30 ***_

_*** 2025-05-26  13:40:30 ***_

_*** 2025-05-26  13:43:30 ***_

_*** 2025-05-26  13:46:30 ***_

