*** 2025-11-05  17:51:34 *** (restart)
FD : today at 09:27 <=> 1 hour ago : AG

*** 2025-11-05  17:52:27 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  17:53:18 ***_

_*** 2025-11-05  17:56:24 ***_

_*** 2025-11-05  17:59:30 ***_

_*** 2025-11-05  18:02:36 ***_

_*** 2025-11-05  18:05:42 ***_

_*** 2025-11-05  18:08:48 ***_

_*** 2025-11-05  18:11:55 ***_

_*** 2025-11-05  18:15:01 ***_

_*** 2025-11-05  18:18:06 ***_

_*** 2025-11-05  18:21:13 ***_

_*** 2025-11-05  18:24:19 ***_

_*** 2025-11-05  18:27:25 ***_

_*** 2025-11-05  18:30:31 ***_

_*** 2025-11-05  18:33:37 ***_

_*** 2025-11-05  18:36:42 ***_

*** 2025-11-05  18:39:48 ***
FD : ==:==  <=> 2 hours ago : AG

*** 2025-11-05  18:40:38 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  18:41:27 ***_

_*** 2025-11-05  18:44:33 ***_

_*** 2025-11-05  18:47:39 ***_

_*** 2025-11-05  18:50:45 ***_

_*** 2025-11-05  18:53:51 ***_

_*** 2025-11-05  18:56:57 ***_

_*** 2025-11-05  19:00:03 ***_

_*** 2025-11-05  19:03:09 ***_

_*** 2025-11-05  19:06:15 ***_

_*** 2025-11-05  19:09:21 ***_

_*** 2025-11-05  19:12:27 ***_

_*** 2025-11-05  19:15:33 ***_

_*** 2025-11-05  19:18:39 ***_

_*** 2025-11-05  19:21:45 ***_

_*** 2025-11-05  19:24:51 ***_

_*** 2025-11-05  19:27:57 ***_

_*** 2025-11-05  19:31:03 ***_

_*** 2025-11-05  19:34:09 ***_

_*** 2025-11-05  19:37:15 ***_

*** 2025-11-05  19:40:21 ***
FD : ==:==  <=> 3 hours ago : AG

*** 2025-11-05  19:41:10 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  19:41:59 ***_

_*** 2025-11-05  19:45:06 ***_

_*** 2025-11-05  19:48:11 ***_

_*** 2025-11-05  19:51:17 ***_

_*** 2025-11-05  19:54:23 ***_

_*** 2025-11-05  19:57:29 ***_

_*** 2025-11-05  20:00:35 ***_

_*** 2025-11-05  20:03:41 ***_

_*** 2025-11-05  20:06:47 ***_

_*** 2025-11-05  20:09:53 ***_

_*** 2025-11-05  20:12:59 ***_

_*** 2025-11-05  20:16:05 ***_

_*** 2025-11-05  20:19:11 ***_

_*** 2025-11-05  20:22:17 ***_

_*** 2025-11-05  20:25:23 ***_

_*** 2025-11-05  20:28:29 ***_

_*** 2025-11-05  20:31:35 ***_

_*** 2025-11-05  20:34:41 ***_

*** 2025-11-05  20:37:47 ***
FD : ==:==  <=> 4 hours ago : AG

*** 2025-11-05  20:38:36 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  20:39:26 ***_

_*** 2025-11-05  20:42:32 ***_

_*** 2025-11-05  20:45:38 ***_

_*** 2025-11-05  20:48:44 ***_

_*** 2025-11-05  20:51:50 ***_

_*** 2025-11-05  20:54:56 ***_

_*** 2025-11-05  20:58:01 ***_

_*** 2025-11-05  21:01:07 ***_

_*** 2025-11-05  21:04:13 ***_

_*** 2025-11-05  21:07:19 ***_

_*** 2025-11-05  21:10:25 ***_

_*** 2025-11-05  21:13:31 ***_

_*** 2025-11-05  21:16:37 ***_

_*** 2025-11-05  21:19:43 ***_

_*** 2025-11-05  21:22:49 ***_

_*** 2025-11-05  21:25:55 ***_

_*** 2025-11-05  21:29:01 ***_

_*** 2025-11-05  21:32:07 ***_

_*** 2025-11-05  21:35:13 ***_

*** 2025-11-05  21:38:19 ***
FD : ==:==  <=> 5 hours ago : AG

*** 2025-11-05  21:39:08 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  21:39:57 ***_

_*** 2025-11-05  21:43:03 ***_

_*** 2025-11-05  21:46:09 ***_

_*** 2025-11-05  21:49:15 ***_

_*** 2025-11-05  21:52:21 ***_

_*** 2025-11-05  21:55:27 ***_

_*** 2025-11-05  21:58:33 ***_

_*** 2025-11-05  22:01:39 ***_

_*** 2025-11-05  22:04:45 ***_

_*** 2025-11-05  22:07:51 ***_

_*** 2025-11-05  22:10:57 ***_

_*** 2025-11-05  22:14:02 ***_

_*** 2025-11-05  22:17:08 ***_

_*** 2025-11-05  22:20:14 ***_

_*** 2025-11-05  22:23:20 ***_

_*** 2025-11-05  22:26:26 ***_

_*** 2025-11-05  22:29:32 ***_

_*** 2025-11-05  22:32:38 ***_

_*** 2025-11-05  22:35:44 ***_

*** 2025-11-05  22:38:50 ***
FD : ==:==  <=> today at 16:37 : AG

*** 2025-11-05  22:39:39 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-05  22:40:29 ***_

_*** 2025-11-05  22:43:35 ***_

_*** 2025-11-05  22:46:41 ***_

_*** 2025-11-05  22:49:47 ***_

_*** 2025-11-05  22:52:52 ***_

_*** 2025-11-05  22:55:58 ***_

_*** 2025-11-05  22:59:05 ***_

_*** 2025-11-05  23:02:11 ***_

_*** 2025-11-05  23:05:16 ***_

_*** 2025-11-05  23:08:22 ***_

_*** 2025-11-05  23:11:28 ***_

_*** 2025-11-05  23:14:34 ***_

_*** 2025-11-05  23:17:40 ***_

_*** 2025-11-05  23:20:46 ***_

_*** 2025-11-05  23:23:52 ***_

_*** 2025-11-05  23:26:58 ***_

_*** 2025-11-05  23:30:04 ***_

_*** 2025-11-05  23:33:10 ***_

_*** 2025-11-05  23:36:16 ***_

_*** 2025-11-05  23:39:21 ***_

_*** 2025-11-05  23:42:27 ***_

_*** 2025-11-05  23:45:34 ***_

_*** 2025-11-05  23:48:39 ***_

_*** 2025-11-05  23:51:45 ***_

_*** 2025-11-05  23:54:51 ***_

_*** 2025-11-05  23:57:57 ***_

*** 2025-11-06  00:01:03 ***
FD : yesterday at 09:27 <=> yesterday at 16:37 : AG

*** 2025-11-06  00:01:53 ***
FD : ==:==  <=>  : ==:== AG

_*** 2025-11-06  00:02:42 ***_

_*** 2025-11-06  00:05:48 ***_

_*** 2025-11-06  00:08:54 ***_

_*** 2025-11-06  00:12:00 ***_

_*** 2025-11-06  00:15:06 ***_

_*** 2025-11-06  00:18:12 ***_

_*** 2025-11-06  00:21:18 ***_

_*** 2025-11-06  00:24:24 ***_

_*** 2025-11-06  00:27:30 ***_

_*** 2025-11-06  00:30:36 ***_

_*** 2025-11-06  00:33:42 ***_

_*** 2025-11-06  00:36:47 ***_

_*** 2025-11-06  00:39:53 ***_

_*** 2025-11-06  00:42:59 ***_

_*** 2025-11-06  00:46:05 ***_

_*** 2025-11-06  00:49:11 ***_

_*** 2025-11-06  00:52:17 ***_

_*** 2025-11-06  00:55:23 ***_

_*** 2025-11-06  00:58:29 ***_

_*** 2025-11-06  01:01:35 ***_

_*** 2025-11-06  01:04:41 ***_

_*** 2025-11-06  01:07:47 ***_

_*** 2025-11-06  01:10:53 ***_

_*** 2025-11-06  01:13:59 ***_

_*** 2025-11-06  01:17:04 ***_

_*** 2025-11-06  01:20:10 ***_

_*** 2025-11-06  01:23:16 ***_

_*** 2025-11-06  01:26:22 ***_

_*** 2025-11-06  01:29:28 ***_

_*** 2025-11-06  01:32:34 ***_

_*** 2025-11-06  01:38:40 ***_

_*** 2025-11-06  01:44:46 ***_

_*** 2025-11-06  01:50:52 ***_

_*** 2025-11-06  01:56:58 ***_

_*** 2025-11-06  02:03:04 ***_

_*** 2025-11-06  02:09:10 ***_

_*** 2025-11-06  02:15:16 ***_

_*** 2025-11-06  02:21:22 ***_

_*** 2025-11-06  02:27:28 ***_

_*** 2025-11-06  02:33:33 ***_

_*** 2025-11-06  02:39:39 ***_

_*** 2025-11-06  02:45:45 ***_

_*** 2025-11-06  02:51:51 ***_

_*** 2025-11-06  02:57:57 ***_

_*** 2025-11-06  03:04:03 ***_

_*** 2025-11-06  03:10:09 ***_

_*** 2025-11-06  03:16:15 ***_

_*** 2025-11-06  03:22:21 ***_

_*** 2025-11-06  03:28:27 ***_

_*** 2025-11-06  03:34:33 ***_

_*** 2025-11-06  03:40:39 ***_

_*** 2025-11-06  03:46:45 ***_

_*** 2025-11-06  03:52:51 ***_

_*** 2025-11-06  03:58:56 ***_

_*** 2025-11-06  04:05:02 ***_

_*** 2025-11-06  04:11:08 ***_

_*** 2025-11-06  04:17:14 ***_

_*** 2025-11-06  04:23:20 ***_

_*** 2025-11-06  04:29:26 ***_

_*** 2025-11-06  04:35:32 ***_

_*** 2025-11-06  04:41:38 ***_

_*** 2025-11-06  04:47:44 ***_

_*** 2025-11-06  04:53:50 ***_

_*** 2025-11-06  04:59:56 ***_

_*** 2025-11-06  05:06:02 ***_

_*** 2025-11-06  05:12:08 ***_

_*** 2025-11-06  05:18:13 ***_

_*** 2025-11-06  05:24:19 ***_

_*** 2025-11-06  05:30:25 ***_

_*** 2025-11-06  05:33:31 ***_

_*** 2025-11-06  05:36:37 ***_

_*** 2025-11-06  05:39:43 ***_

_*** 2025-11-06  05:42:49 ***_

